EVTYPE,EVENTTEMP,EVENTPRECIP,EVENTWIND,EVENTELECTRICAL,EVENTFLOOD,EVENTSEAS,EVENT EROSION,EVENTCOMBUSTION
   HIGH SURF ADVISORY,,,,,,HIGH SURF,,
 COASTAL FLOOD,,,,,COASTAL FLOOD,,,
 FLASH FLOOD,,,,,FLASH FLOOD,,,
 LIGHTNING,,,,LIGHTNING,,,,
 TSTM WIND (G45),,THUNDERSTORM,WIND,,,,,
 TSTM WIND,,THUNDERSTORM,WIND,,,,,
 WATERSPOUT,,,,,,WATERSPOUT,,
 WIND,,,WIND,,,,,
?,,,,,,,,
ABNORMAL WARMTH,ABNORMAL WARMTH,,,,,,,
ABNORMALLY DRY,,ABNORMAL DRY,,,,,,
ABNORMALLY WET,,UNESASONABLE WET,,,,,,
ACCUMULATED SNOWFALL,,UNSEASONABLE WET,,,,,,
AGRICULTURAL FREEZE,FREEZE,UNSEASONABLE WET,,,,,,
APACHE COUNTY,,THUNDERSTORM,WIND,,,,,
ASTRONOMICAL HIGH TIDE,,,,,,ASTRONOMICAL HIGH TIDE,,
ASTRONOMICAL LOW TIDE,,,,,,ASTRONOMICAL LOW TIDE,,
AVALANCE,,,,,,,AVALANCHE,
AVALANCHE,,,,,,,AVALANCHE,
BEACH EROSIN,,,,,,,COASTAL EROSION,
BEACH EROSION,,,,,,,COASTAL EROSION,
Beach Erosion,,,,,,,COASTAL EROSION,
BEACH EROSION/COASTAL FLOOD,,,,,COASTAL FLOOD,,COASTAL EROSION,
BEACH FLOOD,,,,,COASTAL FLOOD,,,
BELOW NORMAL PRECIPITATION,,DROUGHT,,,,,,
BITTER WIND CHILL TEM,WIND CHILL,,,,,,,
BITTER WIND CHILL,WIND CHILL,,,,,,,
Black Ice,BLACK ICE,,,,,,,
BLACK ICE,BLACK ICE,,,,,,,
BLIZZARD AND EXTREME WIND CHIL,WIND CHILL,BLIZZARD,,,,,,
BLIZZARD AND HEAVY SNOW,,BLIZZARD,,,,,,
Blizzard Summary,,BLIZZARD,,,,,,
BLIZZARD WEATHER,,BLIZZARD,,,,,,
BLIZZARD,,BLIZZARD,,,,,,
BLIZZARD/FREEZING RAIN,,BLIZZARD,,,,,,
BLIZZARD/HEAVY SNOW,,BLIZZARD,,,,,,
BLIZZARD/HIGH WIND,,BLIZZARD,HIGH WINDS,,,,,
BLIZZARD/WINTER STORM,,BLIZZARD,,,,,,
BLOWING DUST,,BLOWING DUST,,,,,,
BLOWING SNOW & EXTREME WIND CH,WIND CHILL,BLOWING SNOW,,,,,,
BLOWING SNOW- EXTREME,,BLOWING SNOW,,,,,,
Blowing Snow,,BLOWING SNOW,,,,,,
BLOWING SNOW,,BLOWING SNOW,,,,,,
blowing snow,,BLOWING SNOW,,,,,,
BLOWING SNOW/EXTREME WIND CHIL,WIND CHILL,BLOWING SNOW,,,,,,
BLOW-OUT TIDE,,HIGH WIND,,,,,,
BLOW-OUT TIDES,,HIGH WIND,,,,,,
BREAKUP FLOODING,,,,,BREAKUP FLOOD,,,
BRUSH FIRE,,,,,,,,BRUSH FIRE
BRUSH FIRES,,,,,,,,BRUSH FIRE
COASTAL  FLOODING/ERO,,,,,COASTAL FLOOD,,COASTAL EROSION,
COASTAL EROSION,,,,,,,COASTAL EROSION,
Coastal Flood,,,,,COASTAL FLOOD,,,
COASTAL FLOOD,,,,,COASTAL FLOOD,,,
coastal flooding,,,,,COASTAL FLOOD,,,
Coastal Flooding,,,,,COASTAL FLOOD,,,
COASTAL FLOODING,,,,,COASTAL FLOOD,,,
COASTAL FLOODING/EROSION,,,,,COASTAL FLOOD,,COASTAL EROSION,
Coastal Storm,,,,,,COASTAL STORM,,
COASTAL STORM,,,,,,COASTAL STORM,,
COASTAL SURGE,,,,,COASTAL FLOOD,,,
COASTAL/TIDAL FLOOD,,,,,COASTAL FLOOD,HiGH TIDE,,
COASTALFLOOD,,,,,COASTAL FLOOD,,,
COASTALSTORM,,,,,,COASTAL STORM,,
